case,cache,stage,metric,unit,value
h12_n1,cold,k1,sm__inst_executed_pipe_lsu.min.pct_of_peak_sustained_elapsed,%,30.32
h12_n1,cold,k1,sm__inst_executed_pipe_lsu.sum.pct_of_peak_sustained_elapsed,%,33.12
h12_n1,cold,k1,sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_elapsed,%,14.57
h12_n1,cold,k1,sm__inst_executed_pipe_xu.max.pct_of_peak_sustained_elapsed,%,15.44
h12_n1,cold,k1,sm__inst_executed_pipe_xu.min.pct_of_peak_sustained_elapsed,%,13.34
h12_n1,cold,k1,sm__inst_executed_pipe_xu.sum.pct_of_peak_sustained_elapsed,%,14.57
h12_n1,cold,k1,sm__issue_active.avg.pct_of_peak_sustained_elapsed,%,57.62
h12_n1,cold,k1,sm__issue_active.max.pct_of_peak_sustained_elapsed,%,61.09
h12_n1,cold,k1,sm__issue_active.min.pct_of_peak_sustained_elapsed,%,52.72
h12_n1,cold,k1,sm__issue_active.sum.pct_of_peak_sustained_elapsed,%,57.62
h12_n1,cold,k1,sm__maximum_warps_avg_per_active_cycle,warp,64
h12_n1,cold,k1,sm__maximum_warps_per_active_cycle_pct,%,100
h12_n1,cold,k1,sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32.avg,,5441259.24
h12_n1,cold,k1,sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32.max,,5767168
h12_n1,cold,k1,sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32.min,,4980736
h12_n1,cold,k1,sm__ops_path_tensor_op_hmma_src_bf16_dst_fp32.sum,,805306368
h12_n1,cold,k1,sm__ops_path_tensor_op_hmma_src_fp16_dst_fp16.avg,,2040472.22
h12_n1,cold,k1,sm__ops_path_tensor_op_hmma_src_fp16_dst_fp16.max,,2162688
h12_n1,cold,k1,sm__ops_path_tensor_op_hmma_src_fp16_dst_fp16.min,,1867776
h12_n1,cold,k1,sm__ops_path_tensor_op_hmma_src_fp16_dst_fp16.sum,,301989888
h12_n1,cold,k1,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active,%,5.20
h12_n1,cold,k1,sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed,%,4.61
h12_n1,cold,k1,sm__pipe_tensor_cycles_active.max.pct_of_peak_sustained_active,%,5.51
h12_n1,cold,k1,sm__pipe_tensor_cycles_active.max.pct_of_peak_sustained_elapsed,%,4.89
h12_n1,cold,k1,sm__pipe_tensor_cycles_active.min.pct_of_peak_sustained_active,%,4.89
h12_n1,cold,k1,sm__pipe_tensor_cycles_active.min.pct_of_peak_sustained_elapsed,%,4.33
h12_n1,cold,k1,sm__pipe_tensor_cycles_active.sum.pct_of_peak_sustained_active,%,5.20
h12_n1,cold,k1,sm__pipe_tensor_cycles_active.sum.pct_of_peak_sustained_elapsed,%,4.61
h12_n1,cold,k1,sm__throughput.avg.pct_of_peak_sustained_elapsed,%,57.62
h12_n1,cold,k1,sm__throughput.max.pct_of_peak_sustained_elapsed,%,61.09
h12_n1,cold,k1,sm__throughput.min.pct_of_peak_sustained_elapsed,%,52.72
h12_n1,cold,k1,sm__throughput.sum.pct_of_peak_sustained_elapsed,%,57.62
h12_n1,cold,k1,sm__warps_active.avg.pct_of_peak_sustained_active,%,92.69
h12_n1,cold,k1,sm__warps_active.avg.per_cycle_active,warp,59.32
h12_n1,cold,k1,sm__warps_active.max.pct_of_peak_sustained_active,%,95.87
h12_n1,cold,k1,sm__warps_active.max.per_cycle_active,warp,61.35
h12_n1,cold,k1,sm__warps_active.min.pct_of_peak_sustained_active,%,88.45
h12_n1,cold,k1,sm__warps_active.min.per_cycle_active,warp,56.61
h12_n1,cold,k1,sm__warps_active.sum.pct_of_peak_sustained_active,%,92.69
h12_n1,cold,k1,sm__warps_active.sum.per_cycle_active,warp,8779.43
h12_n1,cold,k1,smsp__issue_active.avg.pct_of_peak_sustained_active,%,64.70
h12_n1,cold,k1,smsp__issue_active.max.pct_of_peak_sustained_active,%,68.61
h12_n1,cold,k1,smsp__issue_active.min.pct_of_peak_sustained_active,%,58.88
h12_n1,cold,k1,smsp__issue_active.sum.pct_of_peak_sustained_active,%,64.70
h12_n1,cold,k1,smsp__maximum_warps_avg_per_active_cycle,warp,16
h12_n1,cold,k1,smsp__warp_issue_stalled_barrier_per_warp_active.pct,%,39.51
h12_n1,cold,k1,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,%,16.40
h12_n1,cold,k1,smsp__warp_issue_stalled_math_pipe_throttle_per_warp_active.pct,%,2.44
h12_n1,cold,k1,smsp__warp_issue_stalled_membar_per_warp_active.pct,%,0
h12_n1,cold,k1,smsp__warp_issue_stalled_mio_throttle_per_warp_active.pct,%,3.47
h12_n1,cold,k1,smsp__warp_issue_stalled_not_selected_per_warp_active.pct,%,9.93
h12_n1,cold,k1,smsp__warp_issue_stalled_short_scoreboard_per_warp_active.pct,%,11.68
