input,chunk,token,prefix_log2,exp_fp32,inverse_fp32,decay,inverse
3,64,13,-56.2651138,1.15481651e-17,8.65938335e+16,1.15467531e-17,8.66942928e+16
3,64,14,-60.5932007,5.74948635e-19,1.73928583e+18,5.75982404e-19,1.73838946e+18
3,64,15,-64.9212875,2.86249728e-20,3.49345301e+19,2.8587362e-20,3.48758755e+19
3,64,16,-69.2493744,1.42515172e-21,7.01679681e+20,1.42275065e-21,7.00976275e+20
3,64,17,-73.5774612,7.09540436e-23,1.409363e+22,7.11375327e-23,1.40933125e+22
3,64,18,-77.9055481,3.53258934e-24,2.83078456e+23,3.541367e-24,2.83341989e+23
3,64,19,-82.2336349,1.75877057e-25,5.68578977e+24,1.76098998e-25,5.70461871e+24
3,64,20,-86.5617218,8.75639303e-27,1.14202271e+26,8.73426794e-27,1.1424349e+26
3,64,21,-90.8898087,4.3595461e-28,2.29381677e+27,4.3545122e-28,2.29212335e+27
3,64,22,-95.2178955,2.17048754e-29,4.60725974e+28,2.16936749e-29,4.61132665e+28
