gate_case,seed,chunk,quantity,zero_count,lost_nonzero_count,inf_count,nan_count,first_bad_flat_index,first_bad_token_1based,finite_min,finite_max,max_abs_error,relative_l2_error,count,model_zero_mask_mismatches,model_inf_mask_mismatches,model_nan_mask_mismatches,model_finite_max_abs_difference
uniform,4,32,decay,0,0,0,0,,,3.6053408558929055e-31,0.091796875,0.000241752661579539,0.0026265514369760747,32,0,0,0,0.0
uniform,4,32,inverse,0,0,0,0,,,10.875,2.772985687999252e+30,4.8263215786911284e+27,0.0015433173814974174,32,0,0,0,0.0
uniform,4,32,direct,0,0,0,0,,,3.9196526228169024e-30,1.0,0.0010790661339805663,0.00037525022868376733,528,0,0,0,0.0
uniform,4,32,factorized,0,0,0,0,,,3.920808180783535e-30,1.00537109375,0.00537109375,0.0024942241896206627,528,0,0,0,0.0
uniform,4,64,decay,26,26,0,0,38,39,0.0,0.091796875,0.000241752661579539,0.0026265514369760747,64,0,0,0,0.0
uniform,4,64,inverse,0,0,25,0,39,40,10.875,2.9774707105582116e+38,,,64,0,0,0,0.0
uniform,4,64,direct,356,356,0,0,780,,0.0,1.0,0.0015198512162198918,0.00039785244631198235,2080,0,0,0,0.0
uniform,4,64,factorized,1014,1014,0,325,741,,0.0,1.00537109375,,,2080,0,0,0,0.0
mixed,4,16,decay,0,0,0,0,,,0.00579833984375,0.98828125,0.0018955744362042504,0.0012932845835567411,16,0,0,0,0.0
mixed,4,16,inverse,0,0,0,0,,,1.0078125,172.0,0.4314897387326653,0.0021294041885470297,16,0,0,0,0.0
mixed,4,16,direct,0,0,0,0,,,0.005859375,1.0,0.0018955744362042504,0.0011993351717780386,136,0,0,0,0.0
mixed,4,16,factorized,0,0,0,0,,,0.005843639373779297,1.0052490234375,0.0052490234375,0.0025240105960464805,136,0,0,0,0.0
mixed,4,32,decay,0,0,0,0,,,2.2910535335540771e-07,0.98828125,0.0018955744362042504,0.0012932926779118449,32,0,0,0,0.0
mixed,4,32,inverse,0,0,0,0,,,1.0078125,4358144.0,12614.959553427063,0.0022617582124081614,32,0,0,0,0.0
mixed,4,32,direct,0,0,0,0,,,2.3096799850463867e-07,1.0,0.0018955744362042504,0.0011945006810968842,528,0,0,0,0.0
mixed,4,32,factorized,0,0,0,0,,,2.3089523892849684e-07,1.0052490234375,0.0052490234375,0.002459469352461838,528,0,0,0,0.0
mixed,4,64,decay,0,0,0,0,,,7.673861546209082e-12,0.98828125,0.0018955744362042504,0.0012932926779118446,64,0,0,0,0.0
mixed,4,64,inverse,0,0,0,0,,,1.0078125,129922760704.0,248655959.5052185,0.0012494635523603178,64,0,0,0,0.0
mixed,4,64,direct,0,0,0,0,,,7.787548383930698e-12,1.0,0.0018955744362042504,0.0012031042038733398,2080,0,0,0,0.0
mixed,4,64,factorized,0,0,0,0,,,7.73381358953884e-12,1.0052490234375,0.0052490234375,0.002397730001341942,2080,0,0,0,0.0
